№ Объекта	Нас. пункт	Район	Улица	Дом	Цена. т.р.	Ком.	О	Ж	К	Этаж	Этажность
2401_142938	Новосибирск	Октябрьский	Кошурникова	22/2	4600	2	54.4	33.9	5.4	14	22
2401_142964	Новосибирск	Октябрьский	Татьяны Снежиной	46	3500	2	76	42	17	4	10
2401_142968	Новосибирск	Октябрьский	Татьяны Снежиной	42	1705	1	34	1	0	8	10
2401_143400	Новосибирск	Октябрьский	Высоцкого	141/9	1550	1	39	25	5	6	10
2401_143442	Новосибирск	Октябрьский	Виталия Потылицына	13/2	3350	3	59	42	9	2	10
2401_143450	Новосибирск	Октябрьский	Михаила Кулагина	35	2350	1	21	14.1	4.1	5	19
2401_143615	Новосибирск	Октябрьский	Лазурная	30	2455	1	29.6	19.2	0	15	18
2401_143617	Новосибирск	Октябрьский	Владимира Заровного	38	4600	2	41	20	12	2	6
2401_143677	Новосибирск	Октябрьский	Татьяны Снежиной	19/1	2500	1	42	17	11	6	10
2401_143681	Новосибирск	Октябрьский	Большевистская	100	2200	1	20	15	2	4	17
2401_143693	Новосибирск	Октябрьский	Бориса Богаткова	194/4	3750	3	59	40	7	2	9
2401_143846	Новосибирск	Октябрьский	Большевистская	114	3300	1	35.3	13	10	2	10
2401_144060	Новосибирск	Октябрьский	Адриена Лежена	43618	3750	4	60	45	5	1	5
2401_144062	Новосибирск	Октябрьский	Высоцкого	142/7	1600	1	42	17	11	10	10
2401_144121	Новосибирск	Октябрьский	Вилюйская	5	3299	1	47.09	15.7	11.38	18	27
2401_144132	Новосибирск	Октябрьский	Лазурная	6	3350	2	51	31	8.8	1	10
2401_144161	Новосибирск	Октябрьский	Виталия Потылицына	43770	3250	2	59	34	12	5	10
2401_144163	Новосибирск	Октябрьский	Лазурная	14	2960	2	50	31	9	3	9
2401_144201	Новосибирск	Октябрьский	Кирова	27/3	5950	2	60	35	11	2	16
2401_58521	Новосибирск	Октябрьский	Высоцкого	42/1	2200	1	33.6	18	7	1	7
2413_1313	Новосибирск	Октябрьский	Сакко и Ванцетти	40	6500	3	70	41.2	10.3	4	10
2632_717	Новосибирск	Октябрьский	Выборная	89/5	4500	2	55.3	27.9	13.7	6	10
2656_005	Новосибирск	Октябрьский	Зыряновская	57	10500	3	134	68.1	23	12	13
2656_031	Новосибирск	Октябрьский	Шевченко	29/а	9900	3	109	60	18	1	3
2656_036	Новосибирск	Октябрьский	Виктора Уса	15	1450	1	26	15	4	17	17
2656_037	Новосибирск	Октябрьский	Бориса Богаткова	192/3	4300	2	54	34	9	3	10
2656_26	Новосибирск	Октябрьский	Восход	26/1	8850	3	89.4	32.7	23.5	4	10
2732_2	Новосибирск	Октябрьский	Обская	50/1	9500	4	95	48	25	5	10
2732_4455667	Новосибирск	Октябрьский	Выборная	123	3080	2	43	25	6.7	1	5
2736_000096	Новосибирск	Октябрьский	Гаранина	21	3450	2	46.5	27.5	7.2	6	9
2736_000110	Новосибирск	Октябрьский	Большевистская	171	2160	1	31	17	6	2	5
2736_000126	Новосибирск	Октябрьский	Сакко и Ванцетти	77	6950	3	72.9	51.37	17	20	22
2736_2222	Новосибирск	Октябрьский	Алтайская	43800	3100	1	37	18	9	9	9
2736_2930	Новосибирск	Октябрьский	Декабристов	117	4500	3	88	48.5	14	14	17
2778_rt13163_3_195590000028	Новосибирск	Октябрьский	Большевистская	145/1	1600	1	32.7	32.7	0	4	4
2778_rt13163_3_195590000029	Новосибирск	Октябрьский	Большевистская	145/1	1600	1	32.7	24.7	8	4	4
2778_rt13163_3_195610000033	Новосибирск	Октябрьский	Выборная	91/4	4190	2	64	33	15	19	19
2778_rt13163_3_195610000037	Новосибирск	Октябрьский	Выборная	91/4	4190	3	64	33	15	19	19
2778_rt13163_3_195800000023	Новосибирск	Октябрьский	Выборная	106/1	6160	3	89	52	14	12	17
2778_rt13164_3_195900000126	Новосибирск	Октябрьский	Михаила Кулагина	31	2100	1	24	16	1	3	19
2778_rt13166_3_195550000034	Новосибирск	Октябрьский	Кирова	236	4500	2	53.02	29.35	9.47	12	17
2778_rt13166_3_195550000035	Новосибирск	Октябрьский	Вилюйская	24	2800	2	46.6	28.5	7.2	1	9
2778_rt13166_3_195770000018	Новосибирск	Октябрьский	Выборная	131	3400	2	57	30	10	9	9
2778_rt13166_3_195770000114	Новосибирск	Октябрьский	Бориса Богаткова	67	6200	2	62.4	27	18.1	7	16
2780_00000004	Новосибирск	Октябрьский	9-го Ноября	95	3100	2	48.7	28	8	3	9
2780_0000001	Новосибирск	Октябрьский	В.Высоцкого	139/6	3150	3	96	56.52	12.92	7	10
2780_04	Новосибирск	Октябрьский	Высоцкого	53	6250	3	85	50	18	2	15
2780_159	Новосибирск	Октябрьский	Бориса Богаткова	209	2450	1	29.5	16.8	5.2	7	9
2780_26	Новосибирск	Октябрьский	Выборная	109	2800	2	43.3	25	6.6	1	5
2780_33	Новосибирск	Октябрьский	Высоцкого	54	3350	2	75.63	41.85	13.75	6	10
2780_34	Новосибирск	Октябрьский	Выборная	110	2800	1	38	18	9	3	9
2780_8	Новосибирск	Октябрьский	Выборная	110	2800	1	38	17	8	3	9
2780_bb196	Новосибирск	Октябрьский	Бориса Богаткова	196	3700	3	56.4	37.3	6.9	9	9
2780_ch111	Новосибирск	Октябрьский	Чехова	111	5100	2	52.2	29	9.1	2	25
2872_001	Новосибирск	Октябрьский	Татьяны Снежиной	25	2050	1	32.6	19.8	5	8	10
2872_002	Новосибирск	Октябрьский	Выборная	125/1	4650	2	68.6	36.6	12.2	3	10
3123_rt13385_3_199990000032	Новосибирск	Октябрьский	Высоцкого	49	5250	3	83.8	50.1	16.2	3	15
3325_7	Новосибирск	Октябрьский	Выборная	123	3299	3	60	39	7.5	3	5
3325_911	Новосибирск	Октябрьский	Военная	43709	8500	3	99.7	61.6	10	12	17
3325_ТС29	Новосибирск	Октябрьский	Татьяны Снежиной	29	2650	1	42.2	16.7	12.1	8	10
3364_VOSH46	Новосибирск	Октябрьский	Восход	46	7800	3	72	43	11	3	14
3390_01-ИИ-001	Новосибирск	Октябрьский	Кирова	32	4000	1	36	16	9	11	24
3390_01-ИИ-005	Новосибирск	Октябрьский	Выборная	131	2500	1	46.3	24	9.9	3	9
3390_1-ТА-02	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14	3100	1	40	15	12	6	10
3390_1-ТА-06	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	3250	1	51	20	14	8	16
3390_1-ТА-19	Новосибирск	Октябрьский	Выборная	89/2	3150	1	40	18	10	7	10
3390_2-ИИ-002	Новосибирск	Октябрьский	Пролетарская	271/2	4600	2	64	31	12	4	10
3390_2-ТА-01	Новосибирск	Октябрьский	Зеленый Бор мкр	9	4250	2	55	32	10	3	5
3390_2-ТА-17	Новосибирск	Октябрьский	Выборная	99/7	4850	2	64	32	11	6	7
3390_3-ИИ-3396	Новосибирск	Октябрьский	Военная	16	6900	3	91	55	12	13	17
3390_3-ТА-08	Новосибирск	Октябрьский	Выборная	125/1	5100	3	72	43	12	8	10
3390_3-ТА-11	Новосибирск	Октябрьский	Выборная	91/1	4950	3	74	43	13	4	10
3390_4-ТА-050	Новосибирск	Октябрьский	Зеленый Бор мкр	7	8100	4	115	73	12	1	6
43_10070803	Новосибирск	Октябрьский	Декабристов	117	4400	1	51.8	18.2	21.1	5	17
43_100711210	Новосибирск	Октябрьский	Шевченко	15	4150	1	40.2	17	0	9	17
43_100711240	Новосибирск	Октябрьский	Бориса Богаткова	194	2200	1	31.1	18.6	6.1	4	4
43_100711269	Новосибирск	Октябрьский	Восход	46	4400	1	42.2	10.2	22.3	6	14
43_100711529	Новосибирск	Октябрьский	Татьяны Снежиной	45	2050	1	32.5	19.7	5	7	10
43_10071195	Новосибирск	Октябрьский	Декабристов	117	4385	1	51.6	18	21.3	10	17
43_100712021	Новосибирск	Октябрьский	Шевченко	15	4070	1	41.2	33	0	3	17
43_10071418	Новосибирск	Октябрьский	Лескова	27	3750	1	39.5	22	7	18	25
43_100714623	Новосибирск	Октябрьский	Выборная	91/4	3349	1	39.9	17.2	10.6	8	19
43_100715651	Новосибирск	Октябрьский	Высоцкого	62	2800	1	54	25	14	8	10
43_100715983	Новосибирск	Октябрьский	Вилюйская	3	3500	1	37.5	17	12	16	27
43_100716337	Новосибирск	Октябрьский	Татьяны Снежиной	46	1950	1	32.6	25.1	0	9	10
43_100716698	Новосибирск	Октябрьский	Гусинобродский тракт	21	1480	1	32.7	19	6	1	3
43_100717239	Новосибирск	Октябрьский	Лазурная	28	3000	1	26.7	0	0	17	18
43_100719037	Новосибирск	Октябрьский	Выборная	117/1	1800	1	28.7	12.7	6.6	1	9
43_100719401	Новосибирск	Октябрьский	Выборная	105/1	1600	1	23.5	12.8	5.5	1	10
43_100720347	Новосибирск	Октябрьский	Добролюбова	150	1750	1	32.1	22	5	2	2
43_100720772	Новосибирск	Октябрьский	Ключ-Камышенское Плато	24	2450	1	37.8	19	9	1	10
43_100722293	Новосибирск	Октябрьский	Вилюйская	3	2550	1	32.7	20.3	0	3	27
43_100722685	Новосибирск	Октябрьский	Бориса Богаткова	192/2	2600	1	33.7	14.2	8	10	10
43_100724010	Новосибирск	Октябрьский	Высоцкого	141/1	1600	1	34	26	0	8	9
43_100724095	Новосибирск	Октябрьский	Сибревкома	9	7480	1	46.8	30	0	23	25
43_100725059	Новосибирск	Октябрьский	Высоцкого	51	3100	1	36.4	17	8.6	9	15
43_100725702	Новосибирск	Октябрьский	Закаменский мкр	11	2820	1	45.03	19.8	14	24	25
43_100725751	Новосибирск	Октябрьский	Высоцкого	54/1	2600	1	42.2	16.5	12.1	7	10
43_100725758	Новосибирск	Октябрьский	Высоцкого	50	2479	1	30.1	18.9	6.6	8	10
43_100726105	Новосибирск	Октябрьский	Якушева	262	900	1	18.3	13.1	5.2	1	1
43_100726309	Новосибирск	Октябрьский	Высоцкого	139/5	1760	1	41.36	16.59	10.88	8	10
43_100726675	Новосибирск	Октябрьский	Большевистская	122	3830	1	34.8	13.2	10.7	5	10
43_100726830	Новосибирск	Октябрьский	Вилюйская	9	3200	1	50	18	15	3	27
43_10072735	Новосибирск	Октябрьский	Вилюйская	17	3500	1	41	17.96	9.16	8	15
43_100727560	Новосибирск	Октябрьский	Михаила Кулагина	31	2275	1	22.5	16.21	5	3	19
43_100727569	Новосибирск	Октябрьский	Чехова	111	3950	1	39.2	20.1	9.2	25	25
43_100727647	Новосибирск	Октябрьский	Высоцкого	49	2970	1	36.7	16.8	8.3	12	15
43_100727704	Новосибирск	Октябрьский	Покатная	130/1	3200	1	35.8	14.6	9	9	17
43_100728304	Новосибирск	Октябрьский	Шевченко	11	3400	1	30.76	23.97	0	24	25
43_100728524	Новосибирск	Октябрьский	Рябиновая	8	2800	1	40.58	18.75	8.72	8	10
43_100728968	Новосибирск	Октябрьский	Татьяны Снежиной	48	1950	1	32.6	18.9	5.9	3	10
43_100728995	Новосибирск	Октябрьский	Татьяны Снежиной	41/1	2200	1	42.5	16.6	12.1	2	11
43_100730029	Новосибирск	Октябрьский	Декабристов	72	2220	1	32	5	16	3	5
43_100730152	Новосибирск	Октябрьский	Высоцкого	150/2	1350	1	32.47	20.35	5	4	10
43_100730163	Новосибирск	Октябрьский	Высоцкого	35	2650	1	35	16.2	8	2	9
43_100730515	Новосибирск	Октябрьский	Высоцкого	50	2450	1	30	15.8	6.8	6	10
43_100731181	Новосибирск	Октябрьский	Гаранина	19	1620	1	20	10.9	5.1	1	5
43_100731367	Новосибирск	Октябрьский	Виталия Потылицына	43647	2410	1	39.7	16.5	10.8	8	18
43_100731375	Новосибирск	Октябрьский	Высоцкого	13	2200	1	34.6	17.7	8.9	5	10
43_100731384	Новосибирск	Октябрьский	Закаменский мкр	20/3	4000	1	34	10	16.2	5	10
43_100731595	Новосибирск	Октябрьский	Выборная	99/4	2100	1	25.3	14	0	6	19
43_100731602	Новосибирск	Октябрьский	Военная	43709	3900	1	43.3	24.4	8.7	10	17
43_100731702	Новосибирск	Октябрьский	Виталия Потылицына	43770	2350	1	38.3	20.9	7.1	10	10
43_100731956	Новосибирск	Октябрьский	Журавлева	11	1700	1	29.3	12	11	5	5
43_100732041	Новосибирск	Октябрьский	Высоцкого	50/3	2400	1	34	16	9	9	10
43_100732300	Новосибирск	Октябрьский	Высоцкого	142/5	1520	1	39.2	25.35	4.39	8	10
43_100732517	Новосибирск	Октябрьский	Высоцкого	139/3	1450	1	34	25.35	0	8	10
43_100732529	Новосибирск	Октябрьский	Кирова	225	3110	1	37	16	10	8	17
43_100732531	Новосибирск	Октябрьский	Большевистская	120	3750	1	37.8	12.7	11.9	12	17
43_100732602	Новосибирск	Октябрьский	Большевистская	38	1690	1	31.2	20.4	4.6	2	2
43_100732811	Новосибирск	Октябрьский	Выборная	125/1	3090	1	47.6	22.5	12.2	5	10
43_100732985	Новосибирск	Октябрьский	Кирова	27/3	4150	1	39.5	20.2	12.1	4	16
43_100733220	Новосибирск	Октябрьский	Высоцкого	150/2	1350	1	33.58	20.25	5	10	10
43_100733271	Новосибирск	Октябрьский	Высоцкого	142/5	1750	1	41.36	16.59	10.88	9	10
43_100733344	Новосибирск	Октябрьский	Высоцкого	139/6	1500	1	39.35	25.35	4.39	8	10
43_100733356	Новосибирск	Октябрьский	Кирова	32	4400	1	36	16.49	9.66	5	24
43_100733604	Новосибирск	Октябрьский	Добролюбова	126	1600	1	31.9	20.5	5	1	2
43_100733611	Новосибирск	Октябрьский	Высоцкого	40/2	1950	1	32.5	19.9	5	6	10
43_100733821	Новосибирск	Октябрьский	Татьяны Снежиной	31/1	2080	1	32.2	19.7	5	6	10
43_100734403	Новосибирск	Октябрьский	Выборная	91/4	2400	1	28.6	15.4	5	17	19
43_100734496	Новосибирск	Октябрьский	Татьяны Снежиной	45/3	2290	1	38.5	22	4	5	10
43_100734591	Новосибирск	Октябрьский	Высоцкого	140/7	2699	1	58.03	25.35	16.59	9	10
43_100734742	Новосибирск	Октябрьский	Татьяны Снежиной	48	3050	1	54.4	25.3	13.7	4	10
43_100734909	Новосибирск	Октябрьский	Высоцкого	142	1300	1	32.47	20	4	9	10
43_100735194	Новосибирск	Октябрьский	Высоцкого	150/2	2500	1	48	20.97	13.78	6	10
43_100735251	Новосибирск	Октябрьский	Обская	82	3550	1	45.7	20	12	2	19
43_100735560	Новосибирск	Октябрьский	Кирова	236	2650	1	28.6	20.6	0	10	20
43_100735564	Новосибирск	Октябрьский	Обская 2-я	154	2750	1	25	18.4	0	17	18
43_100735706	Новосибирск	Октябрьский	Никитина	3	2310	1	31.3	17.9	6	4	4
43_100735876	Новосибирск	Октябрьский	Обская 2-я	69/2	2750	1	33.1	20.8	5	5	10
43_100735886	Новосибирск	Октябрьский	Обская	82	3000	1	34.7	20.2	4.5	4	20
43_100736050	Новосибирск	Октябрьский	Ленинградская	101/2	3650	1	38.6	20.4	9.8	9	11
43_100736058	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	1900	1	32.4	19.6	5	10	10
43_100736067	Новосибирск	Октябрьский	Татьяны Снежиной	51	1900	1	32.4	20	0	10	10
43_100736365	Новосибирск	Октябрьский	Выборная	99/7	3480	1	44.4	18.2	13.5	2	7
43_100736382	Новосибирск	Октябрьский	Сибревкома	9в	3900	1	29.58	13	4	21	25
43_100736395	Новосибирск	Октябрьский	Бориса Богаткова	208/3	2790	1	23.1	16.39	0	18	25
43_100736441	Новосибирск	Октябрьский	Обская	82	3150	1	39.5	17	11	18	19
43_100736916	Новосибирск	Октябрьский	Закаменский мкр	20	2750	1	27.1	19	0	1	9
43_100736922	Новосибирск	Октябрьский	Бориса Богаткова	206	2850	1	29.8	17	5.5	9	9
43_100737207	Новосибирск	Октябрьский	Высоцкого	41/4	1950	1	33	20	3	8	10
43_100737215	Новосибирск	Октябрьский	Высоцкого	54/1	2200	1	32.4	19.6	5	6	10
43_100737298	Новосибирск	Октябрьский	Высоцкого	46	2400	1	31.6	16.5	8.7	9	10
43_100737310	Новосибирск	Октябрьский	Высоцкого	150/3	1850	1	33.58	18	0	2	10
43_100737315	Новосибирск	Октябрьский	Рябиновая	43739	2460	1	27	12.6	5.4	10	17
43_100737342	Новосибирск	Октябрьский	Большевистская	104	4299	1	50	13.09	19	1	17
43_100737523	Новосибирск	Октябрьский	Татьяны Снежиной	19/3	1900	1	32.5	0	0	4	10
43_100737666	Новосибирск	Октябрьский	Большевистская	175/5	1200	1	14.5	12.7	1.3	10	12
43_100737794	Новосибирск	Октябрьский	Выборная	91/1	2650	1	38	16.9	11.2	3	10
43_100737852	Новосибирск	Октябрьский	Рябиновая	43739	2300	1	27.6	17.46	0	3	17
43_100737937	Новосибирск	Октябрьский	Шевченко	25	5300	1	42.1	19.7	9.4	15	28
43_100738044	Новосибирск	Октябрьский	Выборная	107	2000	1	28.7	15.8	5.8	1	5
43_100738052	Новосибирск	Октябрьский	Большевистская	128	2580	1	24.1	17.1	0	10	10
43_100738053	Новосибирск	Октябрьский	Михаила Кулагина	35	3100	1	34.3	15.4	11.1	18	19
43_100738054	Новосибирск	Октябрьский	Лескова	214/1	2700	1	30.6	17.8	6.1	3	9
43_100738187	Новосибирск	Октябрьский	Виталия Потылицына	13/2	2150	1	37.7	28.06	0	7	10
43_100738339	Новосибирск	Октябрьский	Высоцкого	141/9	1650	1	39.02	25.35	4.39	6	10
43_100738349	Новосибирск	Октябрьский	Лескова	15	3860	1	40.9	18	12.2	8	10
43_100738351	Новосибирск	Октябрьский	Выборная	154	3600	1	57.1	25.2	16.2	4	10
43_100738359	Новосибирск	Октябрьский	Высоцкого	150/2	2390	1	48.02	20.97	13.78	10	10
43_100738555	Новосибирск	Октябрьский	Бориса Богаткова	200	2600	1	29.5	17.2	5.1	8	9
43_100738668	Новосибирск	Октябрьский	Лескова	27	4200	1	45.79	26.27	5.45	14	25
43_100738746	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	1880	1	32.5	19.6	5	3	10
43_100738983	Новосибирск	Октябрьский	Вилюйская	7	3300	1	45.6	15.8	11.8	7	27
43_100739231	Новосибирск	Октябрьский	Виталия Потылицына	43712	2350	1	32.6	1	1	3	10
43_100739232	Новосибирск	Октябрьский	Декабристов	156	1350	1	22.4	20	2	1	1
43_100739363	Новосибирск	Октябрьский	Кирова	344	3300	1	43.9	18.3	12.7	2	4
43_100739364	Новосибирск	Октябрьский	Лазурная	30	2470	1	26.7	19.3	0	18	18
43_100739416	Новосибирск	Октябрьский	Высоцкого	140/4	1600	1	33.58	20.35	5	4	10
43_100739463	Новосибирск	Октябрьский	Высоцкого	34	2650	1	33.6	16	9	5	10
43_100739533	Новосибирск	Октябрьский	Гурьевская	78	3950	1	50.7	19.6	18.9	3	14
43_100739763	Новосибирск	Октябрьский	Журавлева	11А	1770	1	24.3	21.6	0	5	5
43_100739808	Новосибирск	Октябрьский	Обская 2-я	69	2550	1	38	19	9	7	10
43_100739867	Новосибирск	Октябрьский	Высоцкого	141/1	1590	1	33.58	20.35	5	7	10
43_100739870	Новосибирск	Октябрьский	Михаила Кулагина	35	3999	1	36.53	14.5	10.5	9	16
43_100739872	Новосибирск	Октябрьский	Кирова	362	2510	1	36.1	18.2	10.1	1	3
43_100739878	Новосибирск	Октябрьский	Вилюйская	5	2950	1	38.5	21.7	9	23	27
43_100739879	Новосибирск	Октябрьский	Высоцкого	38	2500	1	38.5	18.5	8.8	5	10
43_100739935	Новосибирск	Октябрьский	Лескова	15	3700	1	44.1	18	12.2	3	10
43_100740183	Новосибирск	Октябрьский	Закаменский мкр	15	4200	1	42	19.8	12.7	11	27
43_100740284	Новосибирск	Октябрьский	Гаранина	3	2500	1	30.9	19.1	5.8	4	5
43_100740286	Новосибирск	Октябрьский	Татьяны Снежиной	41	2150	1	32	19.7	5	3	10
43_100740289	Новосибирск	Октябрьский	Вилюйская	9	2600	1	35.1	15.4	0	8	27
43_100740380	Новосибирск	Октябрьский	Высоцкого	41/2	2400	1	34.2	16	9	1	10
43_100740575	Новосибирск	Октябрьский	Кирова	225	2550	1	24.2	16	0	14	17
43_100740577	Новосибирск	Октябрьский	Татьяны Снежиной	21	2395	1	38.2	20.8	7	4	10
43_100740579	Новосибирск	Октябрьский	Виталия Потылицына	3	1980	1	32.3	20	5	10	10
43_100740590	Новосибирск	Октябрьский	Высоцкого	41/5	2150	1	32.4	20	5	5	10
43_100740592	Новосибирск	Октябрьский	Татьяны Снежиной	142/1	1790	1	33	20	4	3	10
43_100740598	Новосибирск	Октябрьский	Кирова	225	4300	1	47	19	19	11	17
43_100740610	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2600	1	31.6	15.3	8.9	5	16
43_100740719	Новосибирск	Октябрьский	Высоцкого	41/5	2120	1	32.5	19.8	5	5	10
43_100740782	Новосибирск	Октябрьский	Декабристов	41	5600	1	35.1	16	15.51	6	12
43_100740797	Новосибирск	Октябрьский	Выборная	99/6	3480	1	43.5	20	11.1	4	7
43_100740800	Новосибирск	Октябрьский	Панфиловцев	5	3200	1	41.6	19.3	8.5	14	16
43_100740803	Новосибирск	Октябрьский	Высоцкого	139	1899	1	48.94	20.97	13.78	2	10
43_100740829	Новосибирск	Октябрьский	Добролюбова	162/1	3150	1	43	18.2	9.2	3	17
43_100741004	Новосибирск	Октябрьский	Большевистская	48	2300	1	36.1	20	5	4	5
43_100741005	Новосибирск	Октябрьский	Красносельская	43617	2850	1	34.06	15.4	9.94	3	18
43_100741014	Новосибирск	Октябрьский	Высоцкого	50	2349	1	34.2	18.7	8.8	8	10
43_100741016	Новосибирск	Октябрьский	Гурьевская	37	2300	1	31.4	19.1	5.7	3	5
43_100741209	Новосибирск	Октябрьский	Бориса Богаткова	208/3	2700	1	23.2	15	3	3	25
43_100741210	Новосибирск	Октябрьский	Сакко и Ванцетти	77	3700	1	44	18.01	16	22	22
43_100741211	Новосибирск	Октябрьский	Выборная	105/1	2080	1	31.7	15	8	10	10
43_100741213	Новосибирск	Октябрьский	Нижегородская	24/1	2500	1	30.6	18.4	6.3	4	14
43_100741222	Новосибирск	Октябрьский	Высоцкого	141/3	1799	1	33.58	20.35	5	6	10
43_100741359	Новосибирск	Октябрьский	Высоцкого	45	3060	1	39.8	15.3	11.1	13	27
43_100741363	Новосибирск	Октябрьский	Татьяны Снежиной	21/1	1899	1	32.6	24.7	5	10	10
43_100741364	Новосибирск	Октябрьский	Выборная	105/1	2150	1	29.8	17	6	5	10
43_100741396	Новосибирск	Октябрьский	Виталия Потылицына	11	1900	1	37.7	25	5	5	10
43_100741506	Новосибирск	Октябрьский	Сибревкома	9в	3400	1	29.58	17.4	0	23	25
43_100741567	Новосибирск	Октябрьский	Выборная	89/4	2850	1	36.4	18.4	10	7	10
43_100741570	Новосибирск	Октябрьский	Декабристов	117	4400	1	51.8	18.2	21.4	15	17
43_100741574	Новосибирск	Октябрьский	Большевистская	112	3750	1	33.8	13	10	10	10
43_100741575	Новосибирск	Октябрьский	Рябиновая	43739	2200	1	25.4	14	4.8	2	17
43_100741576	Новосибирск	Октябрьский	Выборная	99/4	2450	1	43.6	21	11	15	19
43_100741602	Новосибирск	Октябрьский	Выборная	154/2	2080	1	33.45	16.63	5	7	16
43_100741607	Новосибирск	Октябрьский	Высоцкого	140/6	1750	1	33.9	20	3.9	5	10
43_100741616	Новосибирск	Октябрьский	Кирова	236	2650	1	28.5	15.44	5	16	20
43_100741618	Новосибирск	Октябрьский	Сибревкома	9	5450	1	40.8	15.6	12.6	23	25
43_100741619	Новосибирск	Октябрьский	Толстого	183	2450	1	29.1	16.3	6	3	5
43_100741620	Новосибирск	Октябрьский	Кошурникова	22/2	3550	1	36.7	14.5	10.2	15	18
43_100741631	Новосибирск	Октябрьский	Высоцкого	64	1950	1	32.3	25	5	9	10
43_100741632	Новосибирск	Октябрьский	Высоцкого	140/6	2000	1	33.58	20.25	5	10	10
43_100741642	Новосибирск	Октябрьский	Высоцкого	38	2300	1	34	18	9	6	9
43_100741831	Новосибирск	Октябрьский	Бориса Богаткова	208/2	2900	1	21.3	14	3	22	22
43_100741930	Новосибирск	Октябрьский	Татьяны Снежиной	43	1950	1	32.5	19.8	5	4	10
43_100741933	Новосибирск	Октябрьский	Татьяны Снежиной	29	2100	1	32.7	19	5	4	10
43_100741935	Новосибирск	Октябрьский	Татьяны Снежиной	39	2050	1	32.4	19.7	5	4	10
43_100741942	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2699	1	34.9	15.4	11.2	8	16
43_100741947	Новосибирск	Октябрьский	Бориса Богаткова	208/2	3950	1	46.1	20.63	12.26	19	22
43_100741949	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	2300	1	32.6	25	0	5	10
43_100741957	Новосибирск	Октябрьский	Обская 2-я	154	3750	1	43.4	19	12	11	18
43_100741966	Новосибирск	Октябрьский	Большевистская	20	2300	1	30.8	17.9	5.9	2	5
43_100741968	Новосибирск	Октябрьский	Высоцкого	49	3573	1	49	25.1	15.3	1	15
43_100741970	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14	3150	1	42.5	17	10.7	11	14
43_100741983	Новосибирск	Октябрьский	Бориса Богаткова	208/1	2700	1	28.7	16.8	5.1	3	9
43_100742348	Новосибирск	Октябрьский	Добролюбова	106	1850	1	31.3	19.7	4.8	1	2
43_100742406	Новосибирск	Октябрьский	Военная	18	3600	1	44	17.75	10.75	9	18
43_100742407	Новосибирск	Октябрьский	Высоцкого	54	1900	1	32.6	25	0	1	10
43_100742471	Новосибирск	Октябрьский	Выборная	91/4	2900	1	30.9	14.7	9.1	6	19
43_100742537	Новосибирск	Октябрьский	Высоцкого	50	2400	1	34.6	18.7	8.9	3	10
43_100742538	Новосибирск	Октябрьский	Высоцкого	50	2480	1	38.2	18.1	8.8	3	10
43_100742648	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	1725	1	32.9	28	1	7	10
43_100742652	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2700	1	34.4	16.5	9.7	15	16
43_100742659	Новосибирск	Октябрьский	Красносельская	43617	3000	1	34.7	15.7	10	15	18
43_100742660	Новосибирск	Октябрьский	Ключ-Камышенское Плато	26	2850	1	32.7	16.8	8.7	7	10
43_100742766	Новосибирск	Октябрьский	Татьяны Снежиной	49/2	2000	1	36.5	19.7	5	8	10
43_100742768	Новосибирск	Октябрьский	Татьяны Снежиной	39	2050	1	32.4	19.6	5	6	10
43_100742828	Новосибирск	Октябрьский	Бориса Богаткова	204	2990	1	29.5	17	5.1	8	9
43_100742832	Новосибирск	Октябрьский	Никитина	143	1150	1	18.3	10.8	2.5	2	5
43_100742930	Новосибирск	Октябрьский	Сибревкома	9	6200	1	40.7	30	10	21	25
43_100743155	Новосибирск	Октябрьский	Виталия Потылицына	43771	2330	1	39	17	10	7	18
43_100743198	Новосибирск	Октябрьский	Обская 2-я	154	3800	1	41.8	17.45	12.52	2	19
43_100743202	Новосибирск	Октябрьский	Покатная	130/1	2700	1	27.8	13.82	0	3	17
43_100743204	Новосибирск	Октябрьский	Обская 2-я	69/2	2560	1	23.1	0	0	6	10
43_100743247	Новосибирск	Октябрьский	Виталия Потылицына	11	2999	1	40.5	25	12	10	10
43_100743248	Новосибирск	Октябрьский	Большевистская	122	3450	1	35.2	16	9	2	10
43_100743298	Новосибирск	Октябрьский	Большевистская	100	3100	1	30	20.8	5	7	17
43_100743302	Новосибирск	Октябрьский	Высоцкого	64	3000	1	53.8	25	14	10	10
43_100743303	Новосибирск	Октябрьский	Кирова	225	3800	1	47.1	19	19.2	10	17
43_100743368	Новосибирск	Октябрьский	Бориса Богаткова	169	1080	1	12.5	12.5	0	1	5
43_100743421	Новосибирск	Октябрьский	Бориса Богаткова	202	2400	1	29.5	16.8	5.2	6	9
